sucursal,codigo,uc,p1,p2,p3,m1,m2,m3
C,0850505,0.00,410.00,410.00,410.00,100.00,100.00,100.00
C,0850510,0.00,376.00,376.00,376.00,100.00,100.00,100.00
C,0850515,0.00,320.00,320.00,320.00,100.00,100.00,100.00
C,0850525,0.00,429.50,429.50,429.50,100.00,100.00,100.00
C,0851005,0.00,877.00,877.00,877.00,100.00,100.00,100.00
C,0851505,0.00,399.00,399.00,399.00,100.00,100.00,100.00
C,0851510,0.00,615.00,615.00,615.00,100.00,100.00,100.00
C,0851515,0.00,842.00,842.00,842.00,100.00,100.00,100.00
C,0851520,0.00,574.00,574.00,574.00,100.00,100.00,100.00
C,0851525,0.00,997.00,997.00,997.00,100.00,100.00,100.00
C,0851535,0.00,394.00,394.00,394.00,100.00,100.00,100.00
C,0851540,0.00,605.00,605.00,605.00,100.00,100.00,100.00
C,0851545,0.00,763.00,763.00,763.00,100.00,100.00,100.00
