sucursal,codigo,p1,p2,p3,cp,uc,m1,m2,m3
C,2283055,104,104,104,62.17,62.19,67.23,67.23,67.23
C,2283060,104,104,104,62.17,62.19,67.23,67.23,67.23
C,2283065,104,104,104,77.86,77.87,33.56,33.56,33.56
C,2283070,104,104,104,77.86,77.87,33.56,33.56,33.56
C,2283075,104,104,104,62.18,62.18,67.26,67.26,67.26
C,2283080,104,104,104,62.17,62.18,67.26,67.26,67.26
C,2283085,104,104,104,62.17,62.18,67.26,67.26,67.26
C,2283090,104,104,104,77.86,77.86,33.57,33.57,33.57
C,2283560,357,357,357,99.96,99.97,257.11,257.11,257.11
C,2283570,83,83,83,62.18,62.19,33.46,33.46,33.46
C,2284005,44.6,44.6,44.6,12.1,12.11,268.29,268.29,268.29
C,2284010,44.6,44.6,44.6,13.52,13.53,229.64,229.64,229.64
C,2284015,44.6,44.6,44.6,12.1,15.94,179.8,179.8,179.8
C,2284020,44.6,44.6,44.6,33.41,33.31,33.89,33.89,33.89
C,2284025,44.6,44.6,44.6,33.41,32.84,35.81,35.81,35.81
C,2284030,8.92,8.92,8.92,5.54,5.54,61.01,61.01,61.01
C,2286005,636,636,636,324.17,324.18,96.19,96.19,96.19
C,2286010,341,341,341,205.42,205.43,65.99,65.99,65.99
C,2286015,382.5,382.5,382.5,190.7,190.72,100.56,100.56,100.56
C,2286020,417,417,417,312.45,312.46,33.46,33.46,33.46
C,2286505,438.5,438.5,438.5,328.8,328.4,33.53,33.53,33.53
C,2286510,375,375,375,281.15,281.16,33.38,33.38,33.38
C,2286512,325,325,325,194.29,194.32,67.25,67.25,67.25
C,2286515,292.5,292.5,292.5,219.05,219.06,33.53,33.53,33.53
C,2286517,274,274,274,163.27,163.29,67.8,67.8,67.8
C,2286520,375,375,375,281.15,280.79,33.55,33.55,33.55
